location_address1,location_address2,location_city,location_convocationLabel,location_fullAddress,location_giveBlood,location_givePlasma,location_givePlatelet,location_groupCode,location_id,location_latitude,location_longitude,location_name,location_phone,location_postCode,location_regionCode,location_regionName,location_samplingLocationCode,location_horaires,location_infos,location_metro,location_bus,location_tram,location_parking,location_debutInfos,location_finInfos,collection_date,collection_groupCode,collection_id,collection_isPublic,collection_isPublishable,collection_lpCode,collection_morningEndTime,collection_morningStartTime,collection_afternoonEndTime,collection_afternoonStartTime,collection_regionCode,collection_nature
SALLE DES FETES (2ème étage),12 RUE PIERRE CASTAGNOU,75014 PARIS,ANNEXE MAIRIE 14,SALLE DES FETES (2ème étage) 12 RUE PIERRE CASTAGNOU 75014 PARIS,True,False,False,I00203,5035181,48.83280563354492,2.325981855392456,ANNEXE MAIRIE -SALLE DES FETES,,,019,EFS Ile de France,2,,,,,,,,,2023-06-08,I00203,809083,True,,2,,,18:00:00,13:00:00,019,
Salons au 1er étage,2 place de la Concorde ,75008 PARIS,HOTEL DE LA MARINE,Salons au 1er étage 2 place de la Concorde  75008 PARIS,True,False,False,I09996,5040575,48.86677169799805,2.3229808807373047,HOTEL DE LA MARINE,,,019,EFS Ile de France,1,,,,,,,,,2023-06-09,I09996,873940,True,,1,,,19:30:00,14:30:00,019,
SALONS GABRIEL ET VISCONTI ,101 RUE DE L'UNIVERSITE,75007 PARIS,ASSEMBLEE NATIONALE,SALONS GABRIEL ET VISCONTI  101 RUE DE L'UNIVERSITE 75007 PARIS,True,False,False,I00015,5037834,48.86055374145508,2.3159375190734863,SALONS GABRIEL ET VISCONTI ,,,019,EFS Ile de France,3,,,,,,,,,2023-06-28,I00015,811183,True,,3,15:00:00,10:00:00,,,019,
HALL D'ACCUEIL - CÔTE COLLEGE,10 RUE DE LA VISTULE,75013 PARIS,CITE SCOLAIRE GABRIEL FAURE,HALL D'ACCUEIL - CÔTE COLLEGE 10 RUE DE LA VISTULE 75013 PARIS,True,False,False,I00507,5039965,48.82375717163086,2.3612985610961914,HALL D'ACCUEIL - CÔTE COLLEGE,,,019,EFS Ile de France,551,,,,,,,,,2023-06-07,I00507,808235,True,,551,,,19:00:00,14:00:00,019,
SALLE 2.115 au 2ème Etage,20 AVENUE DE SEGUR,75007 PARIS,SERVICES DU PREMIER MINISTRE,SALLE 2.115 au 2ème Etage 20 AVENUE DE SEGUR 75007 PARIS,True,False,False,I00020,5037966,48.85050964355469,2.3083415031433105,SALLE 2.115 au 2ème Etage,,,019,EFS Ile de France,3,,,,,,,,,2023-05-23,I00020,809424,True,,3,15:00:00,10:00:00,,,019,
"Bât 6  MODULE 1,  2 & 3",28 RUE DU DOCTEUR ROUX,75015 PARIS,INSTITUT PASTEUR,"Bât 6  MODULE 1,  2 & 3 28 RUE DU DOCTEUR ROUX 75015 PARIS",True,False,False,I01305,5036551,48.8404426574707,2.3106777667999268,MODULE 1 & 2 & 3,,,019,EFS Ile de France,2,,,,,,,,,2023-05-16,I01305,809042,True,,2,12:30:00,10:00:00,15:30:00,13:30:00,019,
SALLE RDC WELCOME at WORK,11 RUE BRILLAT SAVARIN,75013 PARIS,LA MUTUELLE GENERALE et OFI INVEST,SALLE RDC WELCOME at WORK 11 RUE BRILLAT SAVARIN 75013 PARIS,True,False,False,I00674,5041863,48.82154083251953,2.3512730598449707,SALLE RDC,,,019,EFS Ile de France,3,,,,,,,,,2023-05-11,I00674,877629,False,,3,13:00:00,10:30:00,16:30:00,14:00:00,019,
KW STATION MONTPARNASSE,25 RUE PLUMET,75015 PARIS,KELLER WILLIAMS ,KW STATION MONTPARNASSE 25 RUE PLUMET 75015 PARIS,True,False,False,I07813,5037816,48.838623046875,2.307267189025879,PARIS15-KW STATION MONTPARNASS,,,019,EFS Ile de France,1,,,,,,,,,2023-05-11,I07813,880816,True,,1,13:30:00,10:30:00,16:30:00,14:30:00,019,
SALLE DES FETES HOTEL DE BEAUVAU,PLACE BEAUVAU,75008 PARIS,MINISTERE DE L'INTERIEUR,SALLE DES FETES HOTEL DE BEAUVAU PLACE BEAUVAU 75008 PARIS,True,False,False,I00018,5038979,48.87126541137695,2.3164174556732178,SALLE DES FETES,,,019,EFS Ile de France,2,,,,,,,,,2023-06-06,I00018,811697,True,,2,,,17:00:00,12:00:00,019,
SALLE NDBS NIVEAU -1,185 RUE RAYMOND LOSSERAND,75014 PARIS,HOPITAL SAINT JOSEPH,SALLE NDBS NIVEAU -1 185 RUE RAYMOND LOSSERAND 75014 PARIS,True,False,False,I00272,5032382,48.82989501953125,2.3102102279663086,GROUPE HOSP PARIS SAINT JOSEPH,,,019,EFS Ile de France,314,,,,,,,,,2023-08-16,I00272,809032,True,,314,,,20:00:00,15:30:00,019,
SALLE DES FÊTES,31 RUE PECLET,75015 PARIS,MAIRIE DU XV EME,SALLE DES FÊTES 31 RUE PECLET 75015 PARIS,True,False,False,I00194,5035988,48.841400146484375,2.3003451824188232,SALLE DES FÊTES,,,019,EFS Ile de France,4,,,,,,,,,2023-05-31,I00194,803836,True,,4,,,19:00:00,14:00:00,019,
SALLE DES FÊTES,31 RUE PECLET,75015 PARIS,MAIRIE DU XV EME,SALLE DES FÊTES 31 RUE PECLET 75015 PARIS,True,False,False,I00194,5035988,48.841400146484375,2.3003451824188232,SALLE DES FÊTES,,,019,EFS Ile de France,4,,,,,,,,,2023-08-07,I00194,803837,True,,4,,,19:00:00,14:00:00,019,
"3ème étage coté Nord (Ascenseurs E,F,G,H,I) ",200-216 Rue Raymond Losserand,75012 PARIS,IMMEUBLE LE JOUR,"3ème étage coté Nord (Ascenseurs E,F,G,H,I)  200-216 Rue Raymond Losserand 75012 PARIS",True,False,False,I06883,5042320,48.82847595214844,2.306227922439575,3ème étage coté Nord,,,019,EFS Ile de France,1,,,,,,,,,2023-06-22,I06883,883753,True,,1,,,17:00:00,12:00:00,019,
salle 1 ET 2,18 BIS RUE DU 14 JUILLET,94270 LE KREMLIN BICETRE,ESPACE ANDRE MAIGNE,salle 1 ET 2 18 BIS RUE DU 14 JUILLET 94270 LE KREMLIN BICETRE,True,False,False,I02171,5037230,48.81443405151367,2.3587465286254883,ESPACE ANDRE MAIGNE,,,019,EFS Ile de France,3,,,,,,,,,2023-07-10,I02171,808343,True,,3,,,19:30:00,15:00:00,019,
SALLE  H. GINOUX RDC,2 PLACE EMILE CRESP,92120 MONTROUGE,LE  BEFFROI,SALLE  H. GINOUX RDC 2 PLACE EMILE CRESP 92120 MONTROUGE,True,False,False,I03516,5018987,48.81937789916992,2.319758892059326,BEFFROI - SALLE  H. GINOUX RDC,,,019,EFS Ile de France,2,,,,,,,,,2023-07-12,I03516,799836,True,,2,,,18:00:00,13:00:00,019,
MARKETING SUITE,32 RUE DE MONCEAU,75008 PARIS,CAPITAL 8,MARKETING SUITE 32 RUE DE MONCEAU 75008 PARIS,True,False,False,I07758,5040083,48.87651824951172,2.3100368976593018,MARKETING SUITE,,,019,EFS Ile de France,1,,,,,,,,,2023-05-23,I07758,878186,True,,1,17:00:00,12:00:00,,,019,
salle rez de jardin O-G-J 661 ,18 RUE DES PYRENEES,75020 PARIS,MINISTERE INTERIEUR IMMEUBLE GARANCE,salle rez de jardin O-G-J 661  18 RUE DES PYRENEES 75020 PARIS,True,False,False,I09973,5039025,48.84914016723633,2.406792163848877,PARIS20-MINISTERE INTERIEUR,,,019,EFS Ile de France,1,,,,,,,,,2023-06-20,I09973,811704,False,,1,,,17:00:00,12:00:00,019,
SALLES DE CONFERENCE ,26 QUAI MARCEL BOYER,94200 IVRY SUR SEINE,LE PARTITIO,SALLES DE CONFERENCE  26 QUAI MARCEL BOYER 94200 IVRY SUR SEINE,True,False,False,I02599,5038493,48.82266616821289,2.3914034366607666,SALLES DE CONFERENCE,,,019,EFS Ile de France,6353,,,,,,,,,2023-05-24,I02599,808316,True,,6353,14:00:00,09:00:00,,,019,
SALLE DES FETES,16 RUE DES BATIGNOLLES,75017 PARIS ,MAIRIE DU 17ème,SALLE DES FETES 16 RUE DES BATIGNOLLES 75017 PARIS ,True,False,False,I07534,5032290,48.88448715209961,2.322108745574951,SALLE DES FETES,,,019,EFS Ile de France,1,,,,,,,,,2023-06-01,I07534,809102,True,,1,,,19:00:00,14:00:00,019,
,26  RUE VICTOR HUGO,92240 MALAKOFF,MAISON DE LA VIE ASSOCIATIVE,26  RUE VICTOR HUGO 92240 MALAKOFF,True,False,False,I02632,5019843,48.822505950927734,2.305980682373047,MAISON DE LA VIE ASSOCIATIVE,,,019,EFS Ile de France,2,,,,,,,,,2023-07-09,I02632,799729,True,,2,,,17:00:00,12:00:00,019,
AUDITORIUM Bât B,1 av NELSON MANDELA,94110 ARCUEIL,ORANGE VILLAGE,AUDITORIUM Bât B 1 av NELSON MANDELA 94110 ARCUEIL,True,False,False,I02600,5042200,48.811553955078125,2.3286540508270264,AUDITORIUM,,,019,EFS Ile de France,3,,,,,,,,,2023-07-06,I02600,802944,True,,3,12:30:00,10:00:00,16:00:00,13:30:00,019,
SALLES TAISHAN et FLAMANVILLE,97 AV PIERRE BROSSOLETTE,92120 MONTROUGE,EDF PARK AZUR,SALLES TAISHAN et FLAMANVILLE 97 AV PIERRE BROSSOLETTE 92120 MONTROUGE,True,False,False,I02628,5038417,48.818511962890625,2.3094305992126465,SALLES TAISHAN et FLAMANVILLE,,,019,EFS Ile de France,3,,,,,,,,,2023-05-17,I02628,875696,False,,3,,,17:00:00,12:00:00,019,
HALL TROCADERO,1 PLACE DU TROCADERO ET DU 11 NOVEMBRE,75016 PARIS,CITE DE L ARCHITECTURE ET DU PATRIMOINE,HALL TROCADERO 1 PLACE DU TROCADERO ET DU 11 NOVEMBRE 75016 PARIS,True,False,False,I09950,5037587,48.86307144165039,2.2894556522369385,PARIS16-CITE DE L ARCHITECTURE,,,019,EFS Ile de France,1,,,,,,,,,2023-06-06,I09950,801250,True,,1,,,19:00:00,14:00:00,019,
SALLE DES PAS PERDUS,50 AV. DU PROFESSEUR ANDRE LEMIERRE,75020 PARIS,CNAM,SALLE DES PAS PERDUS 50 AV. DU PROFESSEUR ANDRE LEMIERRE 75020 PARIS,True,False,False,I00585,5038367,48.857826232910156,2.415081024169922,SALLE DES PAS PERDUS,,,019,EFS Ile de France,598,,,,,,,,,2023-05-23,I00585,877591,True,,598,15:00:00,10:00:00,,,019,
SALLE SEMINAIRE,55 BD CHARLES DE GAULLE,92240 MALAKOFF ,SAFRAN,SALLE SEMINAIRE 55 BD CHARLES DE GAULLE 92240 MALAKOFF ,True,False,False,I07838,5040707,48.821998596191406,2.2986013889312744,SALLE SEMINAIRE,,,019,EFS Ile de France,1,,,,,,,,,2023-06-29,I07838,868526,False,,1,,,17:00:00,12:00:00,019,
,PLACE VOLTAIRE,94200 IVRY SUR SEINE,SALLE VOLTAIRE,PLACE VOLTAIRE 94200 IVRY SUR SEINE,True,False,False,I02168,5033886,48.8125114440918,2.385368585586548,SALLE VOLTAIRE,,,019,EFS Ile de France,5,,,,,,,,,2023-07-03,I02168,807171,True,,5,,,19:30:00,14:30:00,019,
,10 AVENUE PAUL DOUMER,94110 ARCUEIL,SALLE DES MARIAGES,10 AVENUE PAUL DOUMER 94110 ARCUEIL,True,False,False,I02120,5033219,48.8060188293457,2.336867094039917,SALLE DES MARIAGES,,,019,EFS Ile de France,3,,,,,,,,,2023-06-30,I02120,802935,True,,3,,,19:00:00,14:00:00,019,
,10 AVENUE PAUL DOUMER,94110 ARCUEIL,SALLE DES MARIAGES,10 AVENUE PAUL DOUMER 94110 ARCUEIL,True,False,False,I02120,5033219,48.8060188293457,2.336867094039917,SALLE DES MARIAGES,,,019,EFS Ile de France,3,,,,,,,,,2023-08-11,I02120,802936,True,,3,,,19:00:00,14:00:00,019,
SALLE DU 1er ETAGE,70 RUE JOUFFROY D'ABBANS,75017 PARIS,CENTRE PAROISSIAL JOUFFROY 75017,SALLE DU 1er ETAGE 70 RUE JOUFFROY D'ABBANS 75017 PARIS,True,False,False,I00227,5018366,48.884300231933594,2.3053994178771973,SALLE DU 1er ETAGE,,,019,EFS Ile de France,1,,,,,,,,,2023-05-21,I00227,808472,True,,1,15:00:00,10:00:00,,,019,
IMMEUBLE LOIRE -  1er étage,20 AVENUE DE PARIS,94800 VILLEJUIF,LCL,IMMEUBLE LOIRE -  1er étage 20 AVENUE DE PARIS 94800 VILLEJUIF,True,False,False,I02612,5041296,48.805320739746094,2.363360643386841,AILLE A,,,019,EFS Ile de France,3,,,,,,,,,2023-06-20,I02612,807154,True,,3,14:00:00,09:00:00,,,019,
